OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
823	Minerve	hamlet	616620786	BELLE ANSE	MABRIOLE	0	26	18Q	ZF	18Q ZF 0026
573	Minerve	village	615896954	CROIX-DES-BOUQUES	BELLE FONTAINE	6	39	18Q	ZF	18Q ZF 0639
518	Minerve	village	615741047	BELLE ANSE	MABRIOLE	99	28	18Q	YF	18Q YF 9928
62	Ministère de l'Agriculture	public_building	613231875	DELMAS	VARREUX	86	58	18Q	YF	18Q YF 8658
469	Ministry of Education	public_building	616956856	FORT LIBERTE	DUMAS	2	76	19Q	BB	19Q BB 0276
1071	MINUSTAH - UN Stabilization Mission in Haiti	collapsed	48380077	PORT-AU-PRINCE	TURGEAU	83	51	18Q	YF	18Q YF 8351
131	MINUSTAH - UN Stabilization Mission in Haiti	collapsed	48380077	PORT-AU-PRINCE	TURGEAU	83	51	18Q	YF	18Q YF 8351
152	MINUSTAH GIS	 	48515433	DELMAS	BELLEVUE	87	56	18Q	YF	18Q YF 8756
1759	Miragoane	village	617914977	MIRAGOANE	PAILLANT	1	40	18Q	YF	18Q YF 0140
364	Mirebalais	town	614907911	MIREBALAIS	CRETE BRULEE	5	85	18Q	ZF	18Q ZF 0585
1265	Miyaille	village	617306775	CARREFOUR	COUPEAU	68	41	18Q	YF	18Q YF 6841
43	Modelle	town	613231671	DESDUNES	DESDUNES	43	33	18Q	YG	18Q YG 4333
617	Moguodé	village	615918616	MIREBALAIS	CRETE BRULEE	4	76	18Q	ZF	18Q ZF 0476
694	Moguodé	village	616401765	MIREBALAIS	GRAND BOUCAN	2	82	18Q	ZF	18Q ZF 0282
9	Môle Saint-Nicolas	town	295327560	MOLE SAINT NICOLAS	COTE DE FER	70	90	18Q	XG	18Q XG 7090
73	Moler	village	613385690	CROIX-DES-BOUQUES	VARREUX	86	61	18Q	YF	18Q YF 8661
